DATA LOGGER INTERVAL @ 100ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
3.00,-0.905,0.629,4.612,0.629
3.10,2.222,0.629,4.583,0.629
3.20,5.822,0.629,4.583,0.629
3.30,9.470,0.629,4.602,0.629
3.40,10.099,0.629,4.602,0.629
3.50,1.377,0.629,4.632,0.629
3.60,27.200,0.620,4.632,0.620
3.70,28.400,0.629,4.592,0.629
3.80,-8.162,0.629,4.583,0.629
3.90,-4.524,0.629,4.612,0.629
4.00,-0.915,0.629,4.612,0.629
4.10,2.753,0.629,4.622,0.629
4.20,6.372,0.629,4.622,0.629
4.30,9.863,0.629,4.642,0.629
4.40,10.099,0.629,4.661,0.629
4.50,2.075,0.629,4.681,0.629
4.60,27.210,0.620,4.671,0.620
4.70,29.069,0.629,4.632,0.629
4.80,-7.493,0.629,4.602,0.629
4.90,-3.943,0.629,4.622,0.629
5.00,-0.197,0.629,4.622,0.629
5.10,3.403,0.629,4.632,0.629
5.20,7.061,0.629,4.622,0.629
5.30,10.099,0.629,4.642,0.629
5.40,10.099,0.688,4.642,0.688
5.50,0.787,0.787,4.828,0.787
5.60,27.368,0.787,5.163,0.787
5.70,-9.608,0.806,5.389,0.806
5.80,-5.310,0.747,5.674,0.747
5.90,-0.846,0.629,5.772,0.629
6.00,3.678,0.679,5.595,0.679
6.10,8.103,0.698,5.576,0.698
6.20,10.099,0.767,5.664,0.767
6.30,1.741,0.787,5.782,0.787
6.40,27.299,0.826,5.881,0.826
6.50,-9.549,0.826,6.067,0.826
6.60,-4.592,0.865,6.254,0.865
6.70,0.482,0.954,6.471,0.954
6.80,5.468,1.082,6.746,1.082
6.90,10.099,1.082,7.159,1.082
7.00,1.790,0.983,7.484,0.983
7.10,27.535,0.905,7.631,0.905
7.20,-7.061,0.826,7.670,0.826
7.30,-1.003,0.875,7.592,0.875
7.40,4.946,0.934,7.582,0.934
7.50,10.099,0.983,7.661,0.983
7.60,0.856,1.003,7.818,1.003
7.70,27.731,1.101,7.985,1.101
7.80,-6.333,1.101,8.152,1.101
7.90,0.256,1.131,8.359,1.131
8.00,5.772,1.082,8.496,1.082
8.10,10.099,1.003,8.703,1.003
8.20,27.200,0.983,8.732,0.983
8.30,-9.608,0.944,8.614,0.944
8.40,-2.704,0.944,8.565,0.944
8.50,4.052,0.865,8.585,0.865
8.60,10.099,0.915,8.349,0.915
8.70,1.308,0.895,8.339,0.895
8.80,28.036,0.826,8.172,0.826
8.90,-5.615,0.905,8.074,0.905
9.00,0.669,0.915,8.083,0.915
9.10,6.962,0.865,7.946,0.865
9.20,10.099,1.101,7.936,1.101
9.30,27.200,1.003,8.241,1.003
9.40,-9.617,0.983,8.211,0.983
9.50,-3.235,0.964,8.319,0.964
9.60,3.393,0.954,8.251,0.954
9.70,9.834,0.895,8.339,0.895
9.80,10.099,0.895,8.241,0.895
9.90,27.594,0.856,8.172,0.856
10.00,-6.530,0.826,8.142,0.826
10.10,-0.197,0.915,7.867,0.915
10.20,5.989,0.944,7.887,0.944
10.30,10.099,0.983,7.975,0.983
10.40,0.767,0.974,8.133,0.974
10.50,29.305,0.934,8.054,0.934
10.60,-4.602,0.816,8.123,0.816
10.70,0.846,0.836,7.985,0.836
10.80,7.110,0.915,7.857,0.915
10.90,10.099,0.846,7.887,0.846
11.00,27.200,0.895,7.828,0.895
11.10,29.983,0.944,7.857,0.944
11.20,-4.022,0.934,7.857,0.934
11.30,2.193,0.983,7.828,0.983
11.40,8.329,0.944,7.975,0.944
11.50,10.099,1.013,8.044,1.013
11.60,27.240,1.003,8.142,1.003
11.70,-8.182,0.974,8.221,0.974
11.80,-1.711,0.964,8.329,0.964
11.90,4.789,1.013,8.251,1.013
