DATA LOGGER INTERVAL @ 100ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
1.40,-0.708,0.150,0.551,0.150
1.50,-0.197,0.150,0.570,0.150
1.60,0.226,0.150,0.541,0.150
1.70,0.590,0.150,0.551,0.150
1.80,1.023,0.150,0.551,0.150
1.90,1.436,0.150,0.561,0.150
2.00,1.937,0.150,0.561,0.150
2.10,2.390,0.150,0.561,0.150
2.20,2.773,0.150,0.561,0.150
2.30,3.255,0.150,0.580,0.150
2.40,3.658,0.150,0.561,0.150
2.50,4.071,0.150,0.570,0.150
2.60,4.612,0.150,0.570,0.150
2.70,5.035,0.150,0.580,0.150
2.80,5.487,0.150,0.570,0.150
2.90,5.979,0.150,0.570,0.150
3.00,6.402,0.150,0.570,0.150
3.10,6.785,0.150,0.610,0.150
3.20,7.238,0.150,0.570,0.150
3.30,7.680,0.150,0.580,0.150
3.40,8.123,0.150,0.590,0.150
3.50,8.683,0.150,0.580,0.150
3.60,9.136,0.150,0.590,0.150
3.70,9.558,0.150,0.561,0.150
3.80,9.932,0.150,0.551,0.150
3.90,10.099,0.150,0.590,0.150
4.00,10.099,0.150,0.570,0.150
4.10,10.099,0.150,0.580,0.150
4.20,10.099,0.150,0.580,0.150
4.30,10.099,0.150,0.570,0.150
4.40,10.099,0.150,0.600,0.150
4.50,10.099,0.150,0.580,0.150
4.60,10.099,0.150,0.590,0.150
4.70,10.099,0.150,0.590,0.150
4.80,10.099,0.150,0.580,0.150
4.90,10.099,0.150,0.590,0.150
5.00,10.099,0.150,0.580,0.150
5.10,10.099,0.150,0.590,0.150
5.20,1.849,0.150,0.551,0.150
5.30,1.495,0.150,0.551,0.150
5.40,1.564,0.150,0.551,0.150
5.50,1.760,0.150,0.531,0.150
5.60,1.190,0.150,0.541,0.150
5.70,1.121,0.150,0.561,0.150
5.80,1.101,0.150,0.541,0.150
5.90,27.240,0.150,0.561,0.150
6.00,27.220,0.150,0.551,0.150
6.10,27.210,0.150,0.541,0.150
6.20,27.240,0.150,0.541,0.150
6.30,27.299,0.150,0.521,0.150
6.40,27.348,0.150,0.511,0.150
6.50,27.427,0.150,0.541,0.150
6.60,27.515,0.150,0.521,0.150
6.70,27.741,0.150,0.521,0.150
6.80,28.007,0.150,0.551,0.150
6.90,28.400,0.150,0.541,0.150
7.00,28.862,0.150,0.541,0.150
7.10,29.354,0.150,0.531,0.150
7.20,29.718,0.150,0.531,0.150
7.30,30.239,0.150,0.511,0.150
7.40,-9.647,0.150,0.511,0.150
7.50,-9.195,0.150,0.521,0.150
7.60,-8.909,0.150,0.531,0.150
7.70,-8.408,0.150,0.521,0.150
7.80,-7.965,0.150,0.541,0.150
7.90,-7.464,0.150,0.541,0.150
8.00,-7.041,0.150,0.541,0.150
8.10,-6.569,0.150,0.541,0.150
8.20,-6.117,0.150,0.541,0.150
8.30,-5.635,0.150,0.521,0.150
8.40,-5.320,0.150,0.531,0.150
8.50,-4.848,0.150,0.541,0.150
8.60,-4.474,0.150,0.541,0.150
8.70,-4.032,0.150,0.541,0.150
8.80,-3.550,0.150,0.541,0.150
8.90,-3.157,0.150,0.541,0.150
9.00,-2.694,0.150,0.561,0.150
9.10,-2.350,0.150,0.521,0.150
9.20,-1.878,0.150,0.541,0.150
9.30,-1.534,0.150,0.541,0.150
9.40,-0.983,0.150,0.521,0.150
9.50,-0.669,0.150,0.531,0.150
9.60,-0.197,0.150,0.521,0.150
9.70,0.256,0.150,0.511,0.150
9.80,0.629,0.150,0.521,0.150
9.90,1.062,0.150,0.531,0.150
10.00,1.485,0.150,0.511,0.150
10.10,1.967,0.150,0.521,0.150
10.20,2.360,0.150,0.521,0.150
10.30,2.744,0.150,0.531,0.150
10.40,3.147,0.150,0.531,0.150
10.50,3.580,0.150,0.531,0.150
10.60,3.973,0.150,0.531,0.150
10.70,4.445,0.150,0.541,0.150
10.80,4.828,0.150,0.531,0.150
10.90,5.232,0.150,0.541,0.150
11.00,5.635,0.150,0.541,0.150
11.10,6.087,0.150,0.521,0.150
11.20,6.490,0.150,0.551,0.150
11.30,6.962,0.150,0.541,0.150
11.40,7.297,0.150,0.541,0.150
11.50,7.739,0.150,0.541,0.150
11.60,8.123,0.150,0.541,0.150
11.70,8.624,0.150,0.551,0.150
11.80,9.106,0.150,0.551,0.150
11.90,9.509,0.150,0.541,0.150
12.00,9.834,0.150,0.541,0.150
12.10,10.099,0.150,0.570,0.150
