DATA LOGGER INTERVAL @ 100ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
1.40,10.099,-1.944,29.502,-1.944
1.50,6.864,-1.940,29.324,-1.940
1.60,-2.360,-1.936,29.187,-1.936
1.70,-10.001,-1.932,29.010,-1.932
1.80,10.099,-1.928,28.911,-1.928
1.90,7.198,-1.924,28.843,-1.924
2.00,-0.590,-1.920,28.734,-1.920
2.10,29.767,-1.916,28.705,-1.916
2.20,0.983,-1.912,28.656,-1.912
2.30,8.044,-1.908,28.548,-1.908
2.40,-0.364,-1.904,28.508,-1.904
2.50,-9.116,-1.900,28.518,-1.900
2.60,10.099,-1.896,28.439,-1.896
2.70,6.333,-1.892,28.489,-1.892
2.80,-3.235,-1.888,28.479,-1.888
2.90,27.613,-1.884,28.430,-1.884
3.00,10.099,-1.880,28.459,-1.880
3.10,4.868,-1.876,28.449,-1.876
3.20,-4.661,-1.872,28.430,-1.872
3.30,27.584,-1.868,28.430,-1.868
3.40,10.099,-1.864,28.469,-1.864
3.50,4.710,-1.860,28.469,-1.860
3.60,-4.946,-1.856,28.469,-1.856
3.70,27.417,-1.852,28.439,-1.852
3.80,10.099,-1.848,28.508,-1.848
3.90,3.245,-1.844,28.479,-1.844
4.00,-6.362,-1.840,28.489,-1.840
4.10,27.210,-1.836,28.567,-1.836
4.20,10.099,-1.832,28.597,-1.832
4.30,2.380,-1.828,28.616,-1.828
4.40,-7.169,-1.824,28.636,-1.824
4.50,-1.947,-1.820,28.666,-1.820
4.60,10.099,-1.816,28.636,-1.816
4.70,1.652,-1.812,28.705,-1.812
4.80,-8.083,-1.808,28.744,-1.808
4.90,1.672,-1.804,28.744,-1.804
5.00,8.811,-1.800,28.803,-1.800
5.10,-0.472,-1.796,28.793,-1.796
5.20,-9.667,-1.792,28.843,-1.792
5.30,0.974,-1.788,28.872,-1.788
5.40,8.752,-1.784,28.911,-1.784
5.50,0.806,-1.780,28.882,-1.780
5.60,-8.378,-1.776,28.970,-1.776
5.70,1.052,-1.772,28.921,-1.772
5.80,10.099,-1.768,28.961,-1.768
5.90,1.062,-1.764,29.029,-1.764
6.00,-8.260,-1.760,29.069,-1.760
6.10,0.983,-1.756,29.069,-1.756
6.20,10.099,-1.752,29.108,-1.752
6.30,1.642,-1.748,29.138,-1.748
6.40,-6.294,-1.744,29.187,-1.744
6.50,27.210,-1.740,29.187,-1.740
6.60,10.099,-1.736,29.226,-1.736
6.70,2.616,-1.732,29.295,-1.732
6.80,-6.461,-1.728,29.295,-1.728
6.90,27.328,-1.724,29.344,-1.724
7.00,10.099,-1.720,29.393,-1.720
7.10,4.002,-1.716,29.433,-1.716
7.20,-4.238,-1.712,29.433,-1.712
7.30,27.663,-1.708,29.492,-1.708
7.40,10.099,-1.704,29.502,-1.704
7.50,5.969,-1.700,29.580,-1.700
7.60,-1.691,-1.696,29.570,-1.696
7.70,29.747,-1.692,29.629,-1.692
7.80,1.190,-1.688,29.679,-1.688
7.90,9.116,-1.684,29.679,-1.684
8.00,1.829,-1.680,29.708,-1.680
8.10,-6.874,-1.676,29.777,-1.676
8.20,27.210,-1.672,29.806,-1.672
8.30,10.099,-1.668,29.875,-1.668
8.40,4.720,-1.664,29.895,-1.664
8.50,-3.894,-1.660,29.915,-1.660
8.60,27.977,-1.656,29.944,-1.656
8.70,10.099,-1.652,29.983,-1.652
8.80,8.103,-1.648,30.062,-1.648
8.90,0.806,-1.644,30.052,-1.644
9.00,-7.415,-1.640,30.111,-1.640
9.10,27.200,-1.636,30.160,-1.636
9.20,10.099,-1.632,30.170,-1.632
9.30,4.465,-1.628,30.210,-1.628
9.40,-3.255,-1.624,-10.001,-1.624
9.50,29.541,-1.620,-9.962,-1.620
9.60,1.495,-1.616,-9.913,-1.616
9.70,9.126,-1.612,-9.913,-1.612
9.80,2.380,-1.608,-9.844,-1.608
9.90,-5.979,-1.604,-9.795,-1.604
10.00,27.771,-1.600,-9.795,-1.600
10.10,10.099,-1.596,-9.755,-1.596
10.20,8.300,-1.592,-9.667,-1.592
10.30,0.590,-1.588,-9.647,-1.588
10.40,-7.385,-1.584,-9.608,-1.584
10.50,27.348,-1.580,-9.529,-1.580
10.60,10.099,-1.576,-9.529,-1.576
10.70,7.316,-1.572,-9.460,-1.572
10.80,-0.777,-1.568,-9.401,-1.568
10.90,-7.838,-1.564,-9.381,-1.564
11.00,27.250,-1.560,-9.332,-1.560
11.10,10.099,-1.556,-9.263,-1.556
11.20,6.126,-1.552,-9.224,-1.552
11.30,-0.423,-1.548,-9.175,-1.548
11.40,-7.759,-1.544,-9.136,-1.544
11.50,27.200,-1.540,-9.086,-1.540
11.60,10.099,-1.536,-9.027,-1.536
11.70,6.835,-1.532,-8.949,-1.532
11.80,-0.580,-1.528,-8.929,-1.528
11.90,-7.798,-1.524,-8.890,-1.524
12.00,27.318,-1.520,-8.821,-1.520
12.10,10.099,-1.516,-8.762,-1.516
12.20,7.562,-1.512,-8.703,-1.512
12.30,1.495,-1.508,-8.673,-1.508
12.40,-5.674,-1.504,-8.624,-1.504
12.50,28.636,-1.500,-8.575,-1.500
12.60,0.983,-1.496,-8.546,-1.496
12.70,10.099,-1.492,-8.496,-1.492
12.80,4.474,-1.488,-8.418,-1.488
12.90,-2.036,-1.484,-8.398,-1.484
13.00,-8.369,-1.480,-8.369,-1.480
13.10,27.220,-1.476,-8.329,-1.476
13.20,10.099,-1.472,-8.300,-1.472
13.30,8.054,-1.468,-8.172,-1.468
13.40,2.508,-1.464,-8.182,-1.464
13.50,-3.865,-1.460,-8.093,-1.460
13.60,29.482,-1.456,-8.074,-1.456
13.70,27.210,-1.452,-8.024,-1.452
13.80,10.099,-1.448,-7.916,-1.448
13.90,7.493,-1.444,-7.867,-1.444
14.00,1.190,-1.440,-7.857,-1.440
14.10,-4.602,-1.436,-7.769,-1.436
14.20,29.206,-1.432,-7.661,-1.432
14.30,27.210,-1.428,-7.641,-1.428
14.40,10.099,-1.424,-7.572,-1.424
14.50,7.080,-1.420,-7.493,-1.420
14.60,1.013,-1.416,-7.366,-1.416
14.70,-5.015,-1.412,-7.287,-1.412
14.80,30.229,-1.408,-7.277,-1.408
14.90,27.210,-1.404,-7.149,-1.404
15.00,10.099,-1.400,-7.061,-1.400
15.10,8.201,-1.396,-7.002,-1.396
15.20,3.373,-1.392,-6.913,-1.392
15.30,-2.281,-1.388,-6.874,-1.388
15.40,-7.031,-1.384,-6.766,-1.384
15.50,27.741,-1.380,-6.736,-1.380
15.60,1.406,-1.376,-6.658,-1.376
15.70,10.099,-1.372,-6.540,-1.372
15.80,8.398,-1.368,-6.431,-1.368
15.90,3.580,-1.364,-6.313,-1.364
16.00,-1.613,-1.360,-6.205,-1.360
16.10,-6.549,-1.356,-6.166,-1.356
16.20,28.666,-1.352,-5.940,-1.352
16.30,27.200,-1.348,-5.940,-1.348
16.40,10.099,-1.344,-5.772,-1.344
16.50,10.099,-1.340,-5.704,-1.340
16.60,5.989,-1.336,-5.654,-1.336
16.70,1.485,-1.332,-5.507,-1.332
16.80,-2.498,-1.328,-5.468,-1.328
16.90,-6.776,-1.324,-5.340,-1.324
17.00,29.620,-1.320,-5.379,-1.320
17.10,27.210,-1.316,-5.310,-1.316
17.20,1.003,-1.312,-5.173,-1.312
17.30,10.099,-1.308,-5.114,-1.308
17.40,9.411,-1.304,-5.005,-1.304
17.50,5.399,-1.300,-4.986,-1.300
17.60,1.416,-1.296,-4.907,-1.296
17.70,-1.898,-1.292,-4.819,-1.292
17.80,-5.772,-1.288,-4.809,-1.288
17.90,-9.057,-1.284,-4.720,-1.284
18.00,27.584,-1.280,-4.681,-1.280
18.10,0.905,-1.276,-4.573,-1.276
18.20,10.099,-1.272,-4.484,-1.272
18.30,10.099,-1.268,-4.425,-1.268
18.40,8.713,-1.264,-4.337,-1.264
18.50,5.251,-1.260,-4.327,-1.260
18.60,1.731,-1.256,-4.288,-1.256
18.70,-1.632,-1.252,-4.229,-1.252
18.80,-4.779,-1.248,-4.130,-1.248
18.90,-8.093,-1.244,-4.071,-1.244
19.00,28.862,-1.240,-4.081,-1.240
19.10,27.250,-1.236,-3.973,-1.236
19.20,1.534,-1.232,-3.973,-1.232
19.30,10.099,-1.228,-3.855,-1.228
19.40,10.099,-1.224,-3.865,-1.224
19.50,8.949,-1.220,-3.806,-1.220
19.60,5.959,-1.216,-3.747,-1.216
19.70,3.373,-1.212,-3.658,-1.212
19.80,0.354,-1.208,-3.599,-1.208
19.90,-2.193,-1.204,-3.678,-1.204
20.00,-5.094,-1.200,-3.560,-1.200
20.10,-8.074,-1.196,-3.471,-1.196
20.20,29.295,-1.192,-3.442,-1.192
20.30,27.456,-1.188,-3.422,-1.188
20.40,27.210,-1.184,-3.412,-1.184
20.50,1.347,-1.180,-3.324,-1.180
20.60,10.099,-1.176,-3.245,-1.176
20.70,10.099,-1.172,-3.235,-1.172
20.80,9.401,-1.168,-3.157,-1.168
20.90,6.864,-1.164,-3.107,-1.164
21.00,4.681,-1.160,-3.088,-1.160
21.10,2.154,-1.156,-3.029,-1.156
21.20,-0.197,-1.152,-2.999,-1.152
21.30,-2.478,-1.148,-2.989,-1.148
21.40,-4.809,-1.144,-2.950,-1.144
21.50,-7.228,-1.140,-2.891,-1.140
21.60,-9.549,-1.136,-2.832,-1.136
21.70,28.371,-1.132,-2.803,-1.132
21.80,27.328,-1.128,-2.753,-1.128
21.90,27.210,-1.124,-2.753,-1.124
22.00,1.013,-1.120,-2.645,-1.120
22.10,10.099,-1.116,-2.675,-1.116
22.20,10.099,-1.112,-2.567,-1.112
22.30,10.099,-1.108,-2.547,-1.108
22.40,9.529,-1.104,-2.517,-1.104
22.50,7.562,-1.100,-2.419,-1.100
22.60,5.871,-1.096,-2.390,-1.096
22.70,3.993,-1.092,-2.331,-1.092
22.80,2.370,-1.088,-2.321,-1.088
22.90,0.482,-1.084,-2.252,-1.084
23.00,-1.377,-1.080,-2.203,-1.080
23.10,-3.166,-1.076,-2.163,-1.076
23.20,-4.878,-1.072,-2.104,-1.072
23.30,-6.382,-1.068,-2.095,-1.068
23.40,-8.054,-1.064,-2.006,-1.064
23.50,-9.450,-1.060,-2.006,-1.060
23.60,29.226,-1.056,-1.918,-1.056
23.70,27.879,-1.052,-1.908,-1.052
23.80,27.348,-1.048,-1.829,-1.048
23.90,27.200,-1.044,-1.809,-1.044
24.00,27.338,-1.040,-1.770,-1.040
24.10,1.013,-1.036,-1.691,-1.036
24.20,10.099,-1.032,-1.632,-1.032
24.30,10.099,-1.028,-1.613,-1.028
24.40,10.099,-1.024,-1.554,-1.024
24.50,10.099,-1.020,-1.524,-1.020
24.60,10.099,-1.016,-1.495,-1.016
24.70,10.099,-1.012,-1.446,-1.012
24.80,9.411,-1.008,-1.396,-1.008
24.90,8.270,-1.004,-1.357,-1.004
25.00,7.208,-1.000,-1.318,-1.000
25.10,6.343,-0.996,-1.259,-0.996
25.20,5.261,-0.992,-1.239,-0.992
25.30,4.356,-0.988,-1.190,-0.988
25.40,3.373,-0.984,-1.151,-0.984
25.50,2.586,-0.980,-1.151,-0.980
25.60,1.642,-0.976,-1.092,-0.976
25.70,0.806,-0.972,-1.042,-0.972
25.80,0.010,-0.968,-1.013,-0.968
25.90,-0.865,-0.964,-0.974,-0.964
26.00,-1.623,-0.960,-0.915,-0.960
26.10,-2.291,-0.956,-0.895,-0.956
26.20,-2.911,-0.952,-0.846,-0.952
26.30,-3.521,-0.948,-0.797,-0.948
26.40,-4.140,-0.944,-0.757,-0.944
26.50,-4.730,-0.940,-0.738,-0.940
26.60,-5.222,-0.936,-0.669,-0.936
26.70,-5.694,-0.932,-0.659,-0.932
26.80,-6.225,-0.928,-0.590,-0.928
26.90,-6.697,-0.924,-0.590,-0.924
27.00,-7.159,-0.920,-0.561,-0.920
27.10,-7.582,-0.916,-0.502,-0.916
27.20,-8.024,-0.912,-0.502,-0.912
27.30,-8.369,-0.908,-0.462,-0.908
27.40,-8.762,-0.904,-0.393,-0.904
27.50,-8.998,-0.900,-0.384,-0.900
27.60,-9.263,-0.896,-0.393,-0.896
27.70,-9.588,-0.892,-0.334,-0.892
27.80,-9.873,-0.888,-0.266,-0.888
27.90,-10.021,-0.884,-0.226,-0.884
28.00,30.052,-0.880,-0.256,-0.880
28.10,29.865,-0.876,-0.256,-0.876
28.20,29.688,-0.872,-0.207,-0.872
28.30,29.580,-0.868,-0.187,-0.868
28.40,29.502,-0.864,-0.138,-0.864
28.50,29.443,-0.860,-0.039,-0.860
28.60,29.374,-0.856,-0.089,-0.856
28.70,29.344,-0.852,-0.010,-0.852
28.80,29.354,-0.848,-0.010,-0.848
28.90,29.344,-0.844,-0.010,-0.844
29.00,29.344,-0.840,-0.010,-0.840
29.10,29.344,-0.836,-0.020,-0.836
29.20,29.344,-0.832,-0.010,-0.832
29.30,29.344,-0.828,-0.010,-0.828
29.40,29.344,-0.824,-0.010,-0.824
29.50,29.344,-0.820,-0.010,-0.820
29.60,29.344,-0.816,-0.010,-0.816
29.70,29.344,-0.812,-0.010,-0.812
29.80,29.344,-0.808,-0.010,-0.808
29.90,29.344,-0.804,-0.020,-0.804
30.00,29.344,-0.800,-0.020,-0.800
30.10,29.344,-0.796,-0.010,-0.796
30.20,29.344,-0.792,-0.020,-0.792
30.30,29.344,-0.788,-0.010,-0.788
30.40,29.354,-0.784,-0.010,-0.784
30.50,29.354,-0.780,-0.010,-0.780
30.60,29.344,-0.776,-0.010,-0.776
30.70,29.344,-0.772,-0.010,-0.772
30.80,29.354,-0.768,-0.010,-0.768
30.90,29.354,-0.764,-0.010,-0.764
31.00,29.344,-0.760,-0.010,-0.760
31.10,29.354,-0.756,-0.010,-0.756
31.20,29.354,-0.752,-0.010,-0.752
31.30,29.344,-0.748,-0.010,-0.748
31.40,29.344,-0.744,-0.010,-0.744
