DATA LOGGER INTERVAL @ 100ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
7.30,-6.166,0.300,0.384,0.300
7.40,-5.782,0.300,0.354,0.300
7.50,-5.546,0.300,0.374,0.300
7.60,-5.271,0.300,0.413,0.300
7.70,-4.907,0.300,0.393,0.300
7.80,-4.671,0.300,0.374,0.300
7.90,-4.347,0.300,0.374,0.300
8.00,-4.061,0.300,0.403,0.300
8.10,-3.776,0.300,0.393,0.300
8.20,-3.481,0.300,0.374,0.300
8.30,-3.176,0.300,0.393,0.300
8.40,-2.871,0.300,0.403,0.300
8.50,-2.547,0.300,0.374,0.300
8.60,-2.242,0.300,0.354,0.300
8.70,-1.967,0.300,0.393,0.300
8.80,-1.623,0.300,0.393,0.300
8.90,-1.367,0.300,0.374,0.300
9.00,-1.003,0.300,0.354,0.300
9.10,-0.816,0.300,0.374,0.300
9.20,-0.354,0.300,0.393,0.300
9.30,-0.138,0.300,0.364,0.300
9.40,0.226,0.300,0.344,0.300
9.50,0.482,0.300,0.384,0.300
9.60,0.747,0.300,0.384,0.300
9.70,1.062,0.300,0.354,0.300
9.80,1.347,0.300,0.344,0.300
9.90,1.613,0.300,0.364,0.300
10.00,1.967,0.300,0.403,0.300
10.10,2.331,0.300,0.374,0.300
10.20,2.557,0.300,0.364,0.300
10.30,2.812,0.300,0.384,0.300
10.40,3.147,0.300,0.403,0.300
10.50,3.422,0.300,0.374,0.300
10.60,3.737,0.300,0.354,0.300
10.70,4.052,0.300,0.374,0.300
10.80,4.445,0.300,0.423,0.300
10.90,4.740,0.300,0.354,0.300
11.00,5.025,0.300,0.354,0.300
11.10,5.261,0.300,0.403,0.300
11.20,5.635,0.300,0.403,0.300
11.30,5.959,0.300,0.374,0.300
11.40,6.244,0.300,0.354,0.300
11.50,6.500,0.300,0.403,0.300
11.60,6.844,0.300,0.423,0.300
11.70,7.159,0.300,0.374,0.300
11.80,7.454,0.300,0.364,0.300
11.90,7.720,0.300,0.413,0.300
12.00,8.044,0.300,0.423,0.300
12.10,8.329,0.300,0.384,0.300
12.20,8.713,0.300,0.354,0.300
12.30,9.086,0.300,0.423,0.300
12.40,9.381,0.300,0.403,0.300
12.50,9.637,0.300,0.384,0.300
12.60,9.903,0.300,0.384,0.300
12.70,10.099,0.300,0.413,0.300
12.80,10.099,0.300,0.393,0.300
12.90,10.099,0.300,0.364,0.300
13.00,10.099,0.300,0.403,0.300
13.10,10.099,0.300,0.423,0.300
13.20,10.099,0.300,0.374,0.300
