DATA LOGGER INTERVAL @ 100ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
16.50,3.717,0.300,1.396,0.300
16.60,4.858,0.300,1.396,0.300
16.70,5.851,0.300,1.416,0.300
16.80,7.041,0.300,1.396,0.300
16.90,8.015,0.300,1.416,0.300
17.00,9.136,0.300,1.406,0.300
17.10,10.099,0.300,1.396,0.300
17.20,10.099,0.300,1.406,0.300
17.30,10.099,0.300,1.406,0.300
17.40,10.099,0.300,1.416,0.300
17.50,10.099,0.300,1.416,0.300
17.60,10.099,0.300,1.396,0.300
17.70,1.219,0.300,1.406,0.300
17.80,1.269,0.300,1.406,0.300
17.90,1.308,0.300,1.396,0.300
18.00,27.210,0.300,1.406,0.300
18.10,27.250,0.300,1.406,0.300
18.20,27.446,0.300,1.406,0.300
18.30,27.849,0.300,1.387,0.300
18.40,28.931,0.300,1.396,0.300
18.50,29.993,0.300,1.406,0.300
18.60,-9.067,0.300,1.406,0.300
18.70,-8.093,0.300,1.387,0.300
18.80,-6.923,0.300,1.416,0.300
18.90,-5.684,0.300,1.406,0.300
19.00,-4.632,0.300,1.416,0.300
19.10,-3.501,0.300,1.406,0.300
19.20,-2.498,0.300,1.426,0.300
19.30,-1.318,0.300,1.426,0.300
19.40,-0.197,0.300,1.416,0.300
19.50,0.865,0.300,1.416,0.300
19.60,1.868,0.300,1.396,0.300
19.70,3.019,0.300,1.406,0.300
19.80,4.189,0.300,1.406,0.300
19.90,5.389,0.300,1.406,0.300
20.00,6.490,0.300,1.406,0.300
20.10,7.493,0.300,1.416,0.300
20.20,8.614,0.300,1.416,0.300
20.30,9.617,0.300,1.416,0.300
20.40,10.099,0.300,1.426,0.300
20.50,10.099,0.300,1.426,0.300
20.60,10.099,0.300,1.446,0.300
20.70,10.099,0.300,1.406,0.300
20.80,10.099,0.300,1.436,0.300
20.90,10.099,0.300,1.426,0.300
21.00,1.082,0.300,1.406,0.300
21.10,1.406,0.300,1.416,0.300
21.20,27.210,0.300,1.406,0.300
21.30,27.210,0.300,1.406,0.300
21.40,27.299,0.300,1.406,0.300
21.50,27.584,0.300,1.416,0.300
21.60,28.420,0.300,1.416,0.300
21.70,29.629,0.300,1.406,0.300
21.80,-9.499,0.300,1.396,0.300
21.90,-8.241,0.300,1.416,0.300
22.00,-7.169,0.300,1.406,0.300
22.10,-6.067,0.300,1.416,0.300
22.20,-4.907,0.300,1.377,0.300
22.30,-3.865,0.300,1.416,0.300
22.40,-2.694,0.300,1.416,0.300
22.50,-1.544,0.300,1.416,0.300
22.60,-0.226,0.300,1.416,0.300
22.70,0.856,0.300,1.436,0.300
22.80,1.868,0.300,1.416,0.300
22.90,3.048,0.300,1.416,0.300
23.00,4.052,0.300,1.426,0.300
23.10,5.173,0.300,1.416,0.300
23.20,6.205,0.300,1.426,0.300
23.30,7.375,0.300,1.436,0.300
23.40,8.536,0.300,1.436,0.300
23.50,9.529,0.300,1.426,0.300
23.60,10.099,0.300,1.426,0.300
