DATA LOGGER INTERVAL @ 100ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
6.10,-6.756,0.300,0.787,0.300
6.20,-6.087,0.300,0.806,0.300
6.30,-5.458,0.300,0.787,0.300
6.40,-4.799,0.300,0.787,0.300
6.50,-4.170,0.300,0.806,0.300
6.60,-3.491,0.300,0.787,0.300
6.70,-2.871,0.300,0.816,0.300
6.80,-2.124,0.300,0.806,0.300
6.90,-1.603,0.300,0.826,0.300
7.00,-0.905,0.300,0.787,0.300
7.10,-0.305,0.300,0.826,0.300
7.20,0.354,0.300,0.797,0.300
7.30,0.944,0.300,0.826,0.300
7.40,1.573,0.300,0.787,0.300
7.50,2.301,0.300,0.816,0.300
7.60,2.871,0.300,0.806,0.300
7.70,3.540,0.300,0.826,0.300
7.80,4.199,0.300,0.806,0.300
7.90,4.878,0.300,0.797,0.300
8.00,5.418,0.300,0.826,0.300
8.10,6.117,0.300,0.816,0.300
8.20,6.785,0.300,0.846,0.300
8.30,7.484,0.300,0.806,0.300
8.40,8.103,0.300,0.826,0.300
8.50,8.811,0.300,0.816,0.300
8.60,9.499,0.300,0.816,0.300
8.70,10.099,0.300,0.806,0.300
8.80,10.099,0.300,0.797,0.300
8.90,10.099,0.300,0.836,0.300
9.00,10.099,0.300,0.816,0.300
9.10,10.099,0.300,0.836,0.300
9.20,10.099,0.300,0.806,0.300
9.30,10.099,0.300,0.816,0.300
9.40,10.099,0.300,0.806,0.300
9.50,10.099,0.300,0.826,0.300
9.60,10.099,0.300,0.816,0.300
9.70,1.121,0.300,0.806,0.300
9.80,1.800,0.300,0.806,0.300
9.90,1.288,0.300,0.797,0.300
10.00,1.573,0.300,0.806,0.300
10.10,1.200,0.300,0.797,0.300
10.20,0.354,0.300,0.826,0.300
10.30,27.210,0.300,0.806,0.300
10.40,27.240,0.300,0.836,0.300
10.50,27.338,0.300,0.797,0.300
10.60,27.456,0.300,0.806,0.300
10.70,27.731,0.300,0.787,0.300
10.80,28.095,0.300,0.816,0.300
10.90,28.793,0.300,0.806,0.300
11.00,29.561,0.300,0.816,0.300
11.10,30.072,0.300,0.806,0.300
11.20,-9.539,0.300,0.806,0.300
11.30,-8.968,0.300,0.806,0.300
11.40,-8.182,0.300,0.806,0.300
11.50,-7.710,0.300,0.806,0.300
11.60,-7.031,0.300,0.806,0.300
11.70,-6.362,0.300,0.836,0.300
11.80,-5.694,0.300,0.806,0.300
11.90,-5.074,0.300,0.826,0.300
12.00,-4.524,0.300,0.797,0.300
12.10,-3.894,0.300,0.836,0.300
12.20,-3.285,0.300,0.797,0.300
12.30,-2.616,0.300,0.826,0.300
12.40,-1.967,0.300,0.806,0.300
12.50,-1.396,0.300,0.816,0.300
12.60,-0.738,0.300,0.787,0.300
12.70,-0.138,0.300,0.806,0.300
12.80,0.570,0.300,0.797,0.300
12.90,1.101,0.300,0.816,0.300
13.00,1.721,0.300,0.806,0.300
13.10,2.458,0.300,0.787,0.300
13.20,3.176,0.300,0.826,0.300
13.30,3.737,0.300,0.806,0.300
13.40,4.415,0.300,0.826,0.300
13.50,5.045,0.300,0.797,0.300
13.60,5.605,0.300,0.846,0.300
13.70,6.343,0.300,0.806,0.300
13.80,6.854,0.300,0.836,0.300
13.90,7.562,0.300,0.797,0.300
14.00,8.113,0.300,0.816,0.300
14.10,8.762,0.300,0.806,0.300
14.20,9.440,0.300,0.826,0.300
14.30,9.932,0.300,0.787,0.300
14.40,10.099,0.300,0.806,0.300
14.50,10.099,0.300,0.806,0.300
14.60,10.099,0.300,0.806,0.300
14.70,10.099,0.300,0.797,0.300
14.80,10.099,0.300,0.797,0.300
14.90,10.099,0.300,0.787,0.300
15.00,10.099,0.300,0.797,0.300
15.10,10.099,0.300,0.787,0.300
15.20,10.099,0.300,0.787,0.300
15.30,10.099,0.300,0.816,0.300
15.40,1.092,0.300,0.757,0.300
15.50,1.288,0.300,0.806,0.300
15.60,1.583,0.300,0.767,0.300
15.70,1.800,0.300,0.816,0.300
15.80,27.200,0.300,0.787,0.300
15.90,27.210,0.300,0.806,0.300
16.00,27.210,0.300,0.787,0.300
16.10,27.250,0.300,0.787,0.300
16.20,27.348,0.300,0.787,0.300
16.30,27.456,0.300,0.787,0.300
16.40,27.731,0.300,0.757,0.300
16.50,28.194,0.300,0.787,0.300
16.60,28.823,0.300,0.787,0.300
16.70,29.561,0.300,0.787,0.300
16.80,-10.031,0.300,0.777,0.300
16.90,-9.549,0.300,0.787,0.300
17.00,-8.900,0.300,0.777,0.300
17.10,-8.172,0.300,0.787,0.300
17.20,-7.631,0.300,0.797,0.300
17.30,-6.992,0.300,0.787,0.300
17.40,-6.461,0.300,0.806,0.300
17.50,-5.704,0.300,0.787,0.300
17.60,-5.251,0.800,0.806,0.800
17.70,-4.071,0.800,1.967,0.800
17.80,-2.232,0.800,2.635,0.800
17.90,-0.108,0.800,3.019,0.800
18.00,2.626,0.800,3.225,0.800
18.10,5.104,0.800,3.334,0.800
18.20,8.044,0.800,3.432,0.800
18.30,10.099,0.800,3.471,0.800
18.40,10.099,0.800,3.481,0.800
18.50,10.099,0.800,3.471,0.800
18.60,1.770,0.800,3.481,0.800
18.70,27.279,0.800,3.511,0.800
18.80,28.715,0.800,3.491,0.800
18.90,-8.732,0.800,3.530,0.800
19.00,-6.225,0.800,3.511,0.800
19.10,-3.324,0.800,3.501,0.800
19.20,-0.865,0.800,3.501,0.800
19.30,2.065,0.800,3.530,0.800
19.40,4.543,0.800,3.530,0.800
19.50,7.366,0.800,3.521,0.800
19.60,10.099,0.800,3.491,0.800
19.70,10.099,0.800,3.501,0.800
19.80,10.099,0.800,3.521,0.800
19.90,1.101,0.800,3.481,0.800
20.00,27.259,0.800,3.481,0.800
20.10,28.184,0.800,3.511,0.800
20.20,-9.165,0.800,3.491,0.800
20.30,-6.559,0.800,3.481,0.800
20.40,-3.865,0.800,3.501,0.800
20.50,-1.200,0.800,3.521,0.800
20.60,1.534,0.800,3.501,0.800
20.70,4.170,0.800,3.511,0.800
20.80,6.913,0.800,3.540,0.800
20.90,9.549,0.800,3.540,0.800
21.00,10.099,0.800,3.540,0.800
21.10,10.099,0.800,3.530,0.800
21.20,1.465,0.800,3.501,0.800
21.30,27.279,0.800,3.530,0.800
21.40,28.312,0.800,3.540,0.800
21.50,-9.077,0.800,3.501,0.800
21.60,-6.185,0.800,3.501,0.800
21.70,-3.353,0.800,3.511,0.800
21.80,-0.580,0.800,3.501,0.800
21.90,1.977,0.800,3.540,0.800
22.00,4.710,0.800,3.540,0.800
22.10,7.847,0.800,3.530,0.800
22.20,10.099,0.800,3.530,0.800
22.30,10.099,0.800,3.521,0.800
22.40,10.099,0.800,3.511,0.800
22.50,27.210,0.800,3.511,0.800
22.60,27.417,0.800,3.540,0.800
22.70,29.629,0.800,3.521,0.800
22.80,-8.113,0.800,3.530,0.800
22.90,-5.271,0.800,3.511,0.800
23.00,-2.852,0.800,3.540,0.800
23.10,0.246,0.800,3.521,0.800
23.20,2.960,0.800,3.511,0.800
23.30,5.704,0.800,3.530,0.800
23.40,8.732,0.800,3.521,0.800
23.50,10.099,0.800,3.521,0.800
23.60,10.099,0.800,3.540,0.800
23.70,1.967,0.800,3.540,0.800
23.80,27.210,0.800,3.501,0.800
23.90,27.368,0.800,3.491,0.800
24.00,29.393,0.800,3.530,0.800
24.10,-8.024,0.800,3.501,0.800
24.20,-5.123,0.800,3.540,0.800
24.30,-2.262,0.800,3.521,0.800
24.40,0.649,0.800,3.501,0.800
24.50,3.432,0.800,3.530,0.800
24.60,6.235,0.800,3.521,0.800
24.70,8.909,0.800,3.501,0.800
24.80,10.099,0.800,3.501,0.800
24.90,10.099,0.800,3.501,0.800
25.00,1.259,0.800,3.521,0.800
25.10,27.200,0.800,3.501,0.800
25.20,27.368,0.800,3.481,0.800
25.30,29.384,0.800,3.521,0.800
